total_games,threshold,k,precision
100,nan,1,0.41298821354287035
100,nan,5,0.3037670441414375
100,nan,10,0.27014097527155073
100,nan,20,0.22842616131268778
100,600.0,1,0.5516524150681765
100,600.0,5,0.3683383406517218
100,600.0,10,0.30637855327016406
100,600.0,20,0.2564825514213081
100,1200.0,1,0.5276172868037902
100,1200.0,5,0.3614051305754564
100,1200.0,10,0.30415992604575914
100,1200.0,20,0.2518488560203374
100,1800.0,1,0.5075109775826208
100,1800.0,5,0.3561358909174948
100,1800.0,10,0.3032123873353363
100,1800.0,20,0.24854402588398425
1000,nan,1,0.3294851073655045
1000,nan,5,0.2456245670745786
1000,nan,10,0.20902793812052645
1000,nan,20,0.17487878088201342
1000,600.0,1,0.6211036712075733
1000,600.0,5,0.4193488801662434
1000,600.0,10,0.34604017547910415
1000,600.0,20,0.28365273608866315
1000,1200.0,1,0.6095589933040868
1000,1200.0,5,0.40628030477949667
1000,1200.0,10,0.33673516508889406
1000,1200.0,20,0.28335257446317247
1000,1800.0,1,0.5659201108289079
1000,1800.0,5,0.40110828907873475
1000,1800.0,10,0.32932348187485566
1000,1800.0,20,0.28031632417455554
