num_reviews,review_score,review_score_desc,total_positive,total_negative,total_reviews
100,8,Very Positive,1144136,183522,1327658
4,6,Mostly Positive,812,206,1018
100,5,Mixed,175451,101876,277327
100,9,Overwhelmingly Positive,130577,6387,136964
100,6,Mostly Positive,18410,6917,25327
100,5,Mixed,128537,93406,221943
100,5,Mixed,96083,44628,140711
100,8,Very Positive,58685,3657,62342
100,8,Very Positive,473289,92038,565327
100,9,Overwhelmingly Positive,206956,5216,212172
2,8,Very Positive,2599,279,2878
24,5,Mixed,27201,11741,38942
6,5,Mixed,535,246,781
100,6,Mostly Positive,46752,17896,64648
100,8,Very Positive,473748,95141,568889
1,8,Very Positive,998,138,1136
100,8,Very Positive,382423,23379,405802
100,9,Overwhelmingly Positive,545186,12721,557907
100,6,Mostly Positive,56451,20224,76675
100,9,Overwhelmingly Positive,203538,3759,207297
100,9,Overwhelmingly Positive,395704,12689,408393
1,8,Very Positive,1305,265,1570
100,9,Overwhelmingly Positive,484048,14841,498889
100,8,Very Positive,60124,14166,74290
100,8,Very Positive,510351,96114,606465
100,8,Very Positive,427928,63546,491474
5,6,Mostly Positive,622,183,805
100,8,Very Positive,200132,46103,246235
100,9,Overwhelmingly Positive,349254,3830,353084
100,9,Overwhelmingly Positive,161655,7917,169572
2,6,Mostly Positive,267,77,344
100,8,Very Positive,503,45,548
100,8,Very Positive,149707,20618,170325
100,5,Mixed,205,199,404
100,8,Very Positive,49818,12118,61936
100,8,Very Positive,47327,8231,55558
6,8,Very Positive,4841,570,5411
100,8,Very Positive,293710,41287,334997
100,8,Very Positive,179152,42961,222113
100,8,Very Positive,116907,10542,127449
100,8,Very Positive,92,18,110
100,9,Overwhelmingly Positive,215893,7101,222994
100,8,Very Positive,333340,28080,361420
97,8,Very Positive,125092,24150,149242
100,8,Very Positive,108208,11766,119974
100,9,Overwhelmingly Positive,124002,3090,127092
100,8,Very Positive,231753,12306,244059
100,9,Overwhelmingly Positive,316981,12402,329383
2,6,Mostly Positive,2566,732,3298
25,8,Very Positive,10531,2330,12861
23,8,Very Positive,3931,437,4368
100,9,Overwhelmingly Positive,50954,1872,52826
100,8,Very Positive,101397,8468,109865
100,5,Mixed,530,427,957
100,8,Very Positive,195673,29419,225092
100,8,Very Positive,120491,7302,127793
100,9,Overwhelmingly Positive,260050,6578,266628
100,8,Very Positive,226415,21323,247738
100,5,Mixed,45846,51837,97683
100,5,Mixed,18527,8667,27194
100,8,Very Positive,114037,7459,121496
1,6,Mostly Positive,592,165,757
1,6,Mostly Positive,155,65,220
100,9,Overwhelmingly Positive,31859,1121,32980
100,9,Overwhelmingly Positive,40763,1668,42431
100,9,Overwhelmingly Positive,135218,2077,137295
1,6,Mostly Positive,167,66,233
100,9,Overwhelmingly Positive,73509,1011,74520
100,8,Very Positive,39461,5247,44708
11,5,Mixed,5,6,11
100,9,Overwhelmingly Positive,74372,3339,77711
100,8,Very Positive,84142,5079,89221
100,9,Overwhelmingly Positive,27911,1389,29300
100,8,Very Positive,101929,13863,115792
23,8,Very Positive,1366,111,1477
100,4,Mostly Negative,119,249,368
2,5,Mixed,49,36,85
7,5,Mixed,19296,18420,37716
100,6,Mostly Positive,67752,21311,89063
100,8,Very Positive,74615,4931,79546
11,6,Mostly Positive,86,29,115
100,9,Overwhelmingly Positive,79232,2158,81390
100,8,Very Positive,97939,8933,106872
100,8,Very Positive,88482,12076,100558
100,9,Overwhelmingly Positive,34922,1791,36713
100,8,Very Positive,89229,6690,95919
100,8,Very Positive,78742,11566,90308
100,9,Overwhelmingly Positive,72823,3409,76232
100,6,Mostly Positive,309,113,422
100,8,Very Positive,85545,15376,100921
100,8,Very Positive,138186,27457,165643
47,8,Very Positive,7091,1546,8637
100,8,Very Positive,10858,2112,12970
100,6,Mostly Positive,22706,9352,32058
100,9,Overwhelmingly Positive,75111,2519,77630
100,6,Mostly Positive,122667,44562,167229
100,9,Overwhelmingly Positive,113196,2864,116060
3,5,Mixed,6290,3959,10249
100,8,Very Positive,138295,7624,145919
33,5,Mixed,21672,14034,35706
