weight,num_train_examples,k,hit_rate,mean_avg_prec,ndcg
0.8,,1,0.6728122565567385,0.6006232147494157,0.3634121007530511
0.8,,5,0.92157881069852,0.4137626590495975,0.6291138811242675
0.8,,10,0.9688392625292132,0.3359387172163074,0.6438883509622007
0.8,,20,0.9839002856400936,0.2753960010386912,0.6331067235467853
0.8,5.0,1,0.7042326668397819,0.555959491041288,0.3649701376265905
0.8,5.0,5,0.9265125941313944,0.4089327447416255,0.6450012171975393
0.8,5.0,10,0.9698779537782394,0.3343287457803168,0.6486017274104253
0.8,5.0,20,0.98415995845235,0.2715788106985198,0.6399524090645259
0.8,10.0,1,0.6863152427940794,0.581147753830174,0.3608153726304856
0.8,10.0,5,0.9265125941313944,0.4157361724227473,0.6352087768087396
0.8,10.0,10,0.9696182809659828,0.336873539340431,0.6418238436133296
0.8,10.0,20,0.9839002856400936,0.2739678005712802,0.6343062879266832
0.9,,1,0.6728122565567385,0.6006232147494157,0.3634121007530511
0.9,,5,0.92157881069852,0.4137626590495975,0.645089525786089
0.9,,10,0.9688392625292132,0.3359387172163074,0.6593796483763072
0.9,,20,0.9839002856400936,0.2753960010386912,0.6503155206977621
0.9,5.0,1,0.7042326668397819,0.555959491041288,0.3649701376265905
0.9,5.0,5,0.9265125941313944,0.4089327447416255,0.6566341351349272
0.9,5.0,10,0.9698779537782394,0.3343287457803168,0.6595623481810432
0.9,5.0,20,0.98415995845235,0.2715788106985198,0.6520903832289741
0.9,10.0,1,0.6863152427940794,0.581147753830174,0.3608153726304856
0.9,10.0,5,0.9265125941313944,0.4157361724227473,0.6492203913849542
0.9,10.0,10,0.9696182809659828,0.336873539340431,0.6537001753880203
0.9,10.0,20,0.9839002856400936,0.2739678005712802,0.6471341985176599
0.95,,1,0.6728122565567385,0.6006232147494157,0.3634121007530511
0.95,,5,0.92157881069852,0.4137626590495975,0.6520776362371019
0.95,,10,0.9688392625292132,0.3359387172163074,0.6664120892239598
0.95,,20,0.9839002856400936,0.2753960010386912,0.6591566398643279
0.95,5.0,1,0.7042326668397819,0.555959491041288,0.3649701376265905
0.95,5.0,5,0.9265125941313944,0.4089327447416255,0.6608873101483966
0.95,5.0,10,0.9698779537782394,0.3343287457803168,0.6639082546905841
0.95,5.0,20,0.98415995845235,0.2715788106985198,0.6576863567633907
0.95,10.0,1,0.6863152427940794,0.581147753830174,0.3608153726304856
0.95,10.0,5,0.9265125941313944,0.4157361724227473,0.6556425901867119
0.95,10.0,10,0.9696182809659828,0.336873539340431,0.6601840147483689
0.95,10.0,20,0.9839002856400936,0.2739678005712802,0.6539745301304433
0.99,,1,0.6728122565567385,0.6006232147494157,0.3634121007530511
0.99,,5,0.92157881069852,0.4137626590495975,0.6582810144054334
0.99,,10,0.9688392625292132,0.3359387172163074,0.6726540551454939
0.99,,20,0.9839002856400936,0.2753960010386912,0.6671083335204991
0.99,5.0,1,0.7042326668397819,0.555959491041288,0.3649701376265905
0.99,5.0,5,0.9265125941313944,0.4089327447416255,0.6658526481892765
0.99,5.0,10,0.9698779537782394,0.3343287457803168,0.6673981584855045
0.99,5.0,20,0.98415995845235,0.2715788106985198,0.6626195506978968
0.99,10.0,1,0.6863152427940794,0.581147753830174,0.3608153726304856
0.99,10.0,5,0.9265125941313944,0.4157361724227473,0.6611911603069064
0.99,10.0,10,0.9696182809659828,0.336873539340431,0.6649069909488375
0.99,10.0,20,0.9839002856400936,0.2739678005712802,0.6602450295845191
0.999,,1,0.6728122565567385,0.6006232147494157,0.3634121007530511
0.999,,5,0.92157881069852,0.4137626590495975,0.6596584233975533
0.999,,10,0.9688392625292132,0.3359387172163074,0.6736983801870025
0.999,,20,0.9839002856400936,0.2753960010386912,0.6688666388003212
0.999,5.0,1,0.7042326668397819,0.555959491041288,0.3649701376265905
0.999,5.0,5,0.9265125941313944,0.4089327447416255,0.6669492079616639
0.999,5.0,10,0.9698779537782394,0.3343287457803168,0.6681058435438512
0.999,5.0,20,0.98415995845235,0.2715788106985198,0.6640278390342649
0.999,10.0,1,0.6863152427940794,0.581147753830174,0.3608153726304856
0.999,10.0,5,0.9265125941313944,0.4157361724227473,0.6626180264301885
0.999,10.0,10,0.9696182809659828,0.336873539340431,0.6659729795043108
0.999,10.0,20,0.9839002856400936,0.2739678005712802,0.661879188320146
